sampleID,BearID,Year,BearYear,sex,birth,age,Repro,C13,N15,mass,headcirc,cortkit,cortisol,x,y
667,W0219,2010,W0219_2010,F,2001,10,WithCubs,-23.26,4.58,80,61,2,10.76,1326108.967,6820906.939
611,W1211,2012,W1211_2012,M,2000,13,SolitaryM,-23.26,6.09,172,72.5,2,10.43,1477809.75,6836592.01
1105,W1709,2019,W1709_2019,F,2015,4,SolitaryF,-23.26,4.61,59,51,2,8.25,1496474.116,6814010.903
639,W0625,2011,W0625_2011,M,2003,9,SolitaryM,-23.27,5.37,148,71,2,5.52,1471672.546,6834306.059
756,W0718,2008,W0718_2008,M,2000,9,SolitaryM,-23.27,4.98,192,76,2,10.57,1425737.162,6808983.19
596,W0805,2012,W0805_2012,M,2002,11,SolitaryM,-23.27,6.6,215,84,2,7.04,1464166.858,6814646.457
650,W0908,2011,W0908_2011,M,2008,4,SolitaryM,-23.27,5.26,60,52,2,6.58,1460264.096,6798409.527
602,W0908,2012,W0908_2012,M,2008,5,SolitaryM,-23.27,4.83,98,62,2,4.57,1506597.918,6718278.718
1162,W1708,2020,W1708_2020,F,2015,5,SolitaryF,-23.27,4.9,75,57,2,7.38,1459155.079,6832911.189
1158,W1815,2020,W1815_2020,F,2016,4,SolitaryF,-23.28,4.73,63,51,2,7.93,1448718.529,6835163.124
1048,W1509,2017,W1509_2017,F,2014,3,SolitaryF,-23.29,3.89,69.8,56,2,3.89,1461106.668,6811485.746
716,W1110,2015,W1110_2015,F,2010,6,SolitaryF,-23.31,4.94,82.5,56,2,7.51,1429160.674,6846828.591
573,W1304,2015,W1304_2015,F,2012,4,SolitaryF,-23.32,4.75,48.8,49.5,2,7.32,1452878.794,6814932.689
644,W0811,2011,W0811_2011,M,2007,5,SolitaryM,-23.33,4.88,143,70.5,2,5.01,1466963.954,6790363.677
849,W0802,2009,W0802_2009,M,2003,7,SolitaryM,-23.34,5.64,155,73,2,7.63,1450766.157,6844312.862
