"ID_Year","x","y","count"
"64","W0326 2009",1426345.25090645,6846268.53988397,2758
"65","W0407 2006",1458224.21487603,6810708.94214876,121
"66","W0410 2006",1464253.30431245,6827860.15785191,1229
"67","W0410 2007",1464359.52764171,6825978.17039888,2858
"68","W0411 2006",1460200.30719886,6833238.62259444,2806
"69","W0411 2007",1459152.36694135,6829772.34949103,4126
"70","W0411 2008",1461935.58752709,6827104.87430773,4153
"71","W0411 2009",1464820.45132302,6827988.92311533,4006
"72","W0422 2006",1449225.2473997,6792031.49628529,1346
"73","W0422 2007",1449628.82935561,6794313.36903341,3352
"74","W0422 2008",1449923.65841429,6792281.64462551,3191
"75","W0422 2009",1450198.51052632,6792022.08253589,4180
"76","W0425 2006",1461976.32170674,6814768.87809008,2953
"77","W0425 2008",1462573.70393901,6813016.86912325,3935
"78","W0425 2009",1461963.60864531,6812700.4230027,2591
"79","W0425 2011",1461849.20416333,6812283.23965839,3747
"80","W0425 2013",1460325.28513238,6812604.48778004,1964
"81","W0425 2014",1458433.96612779,6808676.24736977,3897
"82","W0427 2005",1440988.54627072,6841607.56871547,2896
"83","W0427 2006",1438723.02974359,6844022.19384615,975
"84","W0503 2007",1445480.09896603,6827459.77193501,3385
"85","W0503 2008",1446859.85128806,6826408.1118267,3416
"86","W0503 2009",1447878.85562382,6826249.64106805,4232
"87","W0503 2010",1447905.15270684,6826012.95607763,1958
"88","W0504 2008",1418241.19642316,6847887.27917551,3299
"89","W0504 2010",1417358.61055276,6847559.93875628,3184
"90","W0507 2007",1452891.10519308,6803609.7976032,751
"91","W0507 2008",1452020.60333824,6805625.21698576,4074
"92","W0507 2009",1451540.75491888,6804033.95616155,2897
"93","W0516 2005",1477939.48351648,6807836.69230769,91
"94","W0603 2009",1487115.97324841,6810172.66751592,785
"95","W0605 2010",1436318.45158078,6794532.0278815,4017
"96","W0605 2011",1436319.89477452,6793535.44070628,4191
"97","W0605 2012",1435494.00085251,6792542.97570333,2346
"98","W0605 2013",1435320.87015707,6794524.72408377,3820
"99","W0605 2014",1435615.61758893,6795146.75642292,4048
"100","W0605 2016",1436220.37747974,6794200.5255658,3579
"101","W0605 2017",1435472.89612512,6796184.05438842,4284
"102","W0605 2019",1436726.93474013,6794446.17545916,2559
"103","W0605 2020",1437215.12844685,6794268.6471836,4243
"104","W0605 2021",1438718.52304659,6797529.37318215,4057
"105","W0605 2022",1437455.2022607,6795583.48629149,4158
"106","W0610 2008",1467296.71785433,6817762.50801998,3803
"107","W0610 2009",1468340.28781925,6817408.31311395,4072
"108","W0610 2010",1467739.22225077,6816893.18987667,3892
"109","W0610 2011",1468629.60092807,6817408.67604408,3448
"110","W0610 2012",1469101.39653894,6816210.97478368,4045
"111","W0610 2013",1470726.43414771,6817738.69783769,3561
"112","W0610 2014",1469066.80254624,6817452.8248859,4163
"113","W0611 2009",1463002.80556988,6813665.68669417,3878
"114","W0611 2010",1463394.1869832,6812806.97305948,3749
"115","W0611 2011",1463502.95475578,6812065.63727506,3890
"116","W0611 2012",1462956.29448729,6811862.72807769,3501
